projet;nom_schema;titre;description;langue;info_temporelle;info_spatiale;droits_accès;license;createur;attribution;attribution;attribution;attribution;attribution;theme;theme;mots_clefs
Cell Cultured Meat;ccm_4.json;Cell Cultured Meat: Cyclic Voltammetry for Lactate Detection;This schema will have table of voltage and current for different numbers of scans. On plotting the data and identifying the peaks characteristic to Lactate, the voltage can be determined which would be the input to Lactate conversion study using chronoamperometry.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
Cell Cultured Meat;ccm_5.json;Cell Cultured Meat: Lactate Quantification using L-Lactate Assay;Standard calibration curve constructed using the protocol. Initial and Final absorbance measured as per protocol. Actual sample absorbance and concentration calculated.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
Cell Cultured Meat;ccm_6.json;Cell Cultured Meat: Lactate Quantification using Spectrophotometry;Standard calibration curve of L-Lactic acid is constructed. Absorbance of Blank wells are initially taken and subtracted from Absorbance values obtained by adding samples at that particular wavelength. Reference is considered as the absorbance of sample with 0 concentration of L-Lactic acid and is subtracted from sample absorbance to get the actual absorbance. Based on the obtained values of actual absorbance, the concentration of L-Lactic acid is determined in samples from the calibration curve.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact ;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
Cell Cultured Meat;ccm_7.json;Cell Cultured Meat: qRT-PCR;Information regarding qRT-PCR conditions.;en;2023-2027;Canada;RESTREINT;NA;Cell Cultured Meat, https://genomecanada.ca/project/omics-guided-technologies-for-scalable-production-of-cell-cultured-meat/, pointOfContact;P. Ravi Selvaganapathy, principalInvestigator, https://orcid.org/0000-0003-2041-7180;Julie Audet, principalInvestigator, https://orcid.org/0000-0002-5599-6074;Michael von Massow, principalInvestigator, https://orcid.org/0000-0003-3945-4950;Michelle Bamji-Mirza, principalInvestigator, https://science.carleton.ca/people/michelle-bamji-mirza/;NA;http://id.nlm.nih.gov/mesh/D00009690;NA;Cell Cultured Meat, cellular agriculture, omics approaches, bioreactors, greenhouse gas mitigation
Grassland Genomics For Green House Gas Mitigation (GG4GHG);gg4ghg_1.json;GG4GHG: Community composition data;Genome Canada community composition data.;en;2023-2027;Canada;RESTREINT;NA;GG4GHG, https://grassland-genomics.usask.ca/research-grant/2, pointOfContact;Jonathan Bennett, principalInvestigator, https://orcid.org/0000-0001-5617-7524;Sean Asselin, principalInvestigator, https://orcid.org/0000-0003-3497-0518;NA;NA;NA;http://purl.obolibrary.org/obo/ENVO_01001206;http://purl.obolibrary.org/obo/ENVO_01000629;GG4GHG, grassland genomics, carbon sequestration, greenhouse gas mitigation, soil microbiome
Grassland Genomics For Green House Gas Mitigation (GG4GHG);gg4ghg_2.json;GG4GHG: Soil chemistry data;A schema to describe soil chemistry measurements for GG4GHG data.;en;2023-2027;Canada;RESTREINT;NA;GG4GHG, https://grassland-genomics.usask.ca/research-grant/2, pointOfContact;Jonathan Bennett, principalInvestigator, https://orcid.org/0000-0001-5617-7524;Sean Asselin, principalInvestigator, https://orcid.org/0000-0003-3497-0518;NA;NA;NA;http://purl.obolibrary.org/obo/ENVO_01001206;http://purl.obolibrary.org/obo/ENVO_01000629;GG4GHG, grassland genomics, carbon sequestration, greenhouse gas mitigation, soil microbiome
Loop;loop_1.json;Loop: Environmental DNA;This schema is designed for environmental or agricultural monitoring datasets. It includes several key attributes such as sample identifiers, sample types, geographic coordinates (latitude and longitude), and site descriptions. The schema also defines metadata fields for data validation, such as required entry values, accepted formats, and character encoding. It aims to support structured data collection and ensure interoperability across platforms through consistent attribute naming and semantic annotations.;en;2023-2027;Canada;RESTREINT;NA;Loop, https://genomecanada.ca/project/omics-to-close-the-loop-optimized-amendment-from-local-agri-food-waste-for-carbon-footprint-reduction/, pointOfContact;Joan Laur, principalInvestigator, https://orcid.org/0000-0001-6759-6484;Louise Hénault-Ethier, principalInvestigator, https://orcid.org/0000-0003-0849-3666;NA;NA;NA;https://id.nlm.nih.gov/mesh/M0508691.html;http://purl.obolibrary.org/obo/ENVO_03600006;Loop, circular economy, food waste valorization, microbiome genomics, greenhouse gas mitigation
Leveraging Genomics To Achieve Dairy Net-Zero (NDGP);ndgp_1.json;Leveraging Genomics To Achieve Dairy Net-Zero: Calving File Layout;Data schema for the pedigree file layout for Leveraging Genomics To Achieve Dairy Net-Zero (NDGP).;en;2023-2027;Canada;RESTREINT;NA;Net-Zero Dairy Genome Project, https://www.ndgp.ca/, pointOfContact;Christine Baes, principalInvestigator, https://orcid.org/0000-0001-6614-8890;Filippo Miglior, principalInvestigator, https://orcid.org/0000-0003-2345-8842;Rachel Gervais, principalInvestigator, https://orcid.org/0000-0002-6929-2027;Paul Stothard, principalInvestigator, https://orcid.org/0000-0003-4263-969X;NA;http://id.nlm.nih.gov/mesh/D003612;http://id.nlm.nih.gov/mesh/D000074382;NDGP, dairy genomics, greenhouse gas mitigation, methane reduction, animal nutrition
Leveraging Genomics To Achieve Dairy Net-Zero (NDGP);ndgp_2.json;Leveraging Genomics To Achieve Dairy Net-Zero: Events File Layout;Data schema for the pedigree file layout for the Leveraging Genomics To Achieve Dairy Net-Zero (NDGP).;en;2023-2027;Canada;RESTREINT;NA;Net-Zero Dairy Genome Project, https://www.ndgp.ca/, pointOfContact;Christine Baes, principalInvestigator, https://orcid.org/0000-0001-6614-8890;Filippo Miglior, principalInvestigator, https://orcid.org/0000-0003-2345-8842;Rachel Gervais, principalInvestigator, https://orcid.org/0000-0002-6929-2027;Paul Stothard, principalInvestigator, https://orcid.org/0000-0003-4263-969X;NA;http://id.nlm.nih.gov/mesh/D003612;http://id.nlm.nih.gov/mesh/D000074382;NDGP, dairy genomics, greenhouse gas mitigation, methane reduction, animal nutrition
Leveraging Genomics To Achieve Dairy Net-Zero (NDGP);ndgp_3.json;Leveraging Genomics To Achieve Dairy Net-Zero: Genotype File Layout;Data schema for the pedigree file layout for the Net-Zero Dairy Genome Project.;en;2023-2027;Canada;RESTREINT;NA;Net-Zero Dairy Genome Project, https://www.ndgp.ca/, pointOfContact;Christine Baes, principalInvestigator, https://orcid.org/0000-0001-6614-8890;Filippo Miglior, principalInvestigator, https://orcid.org/0000-0003-2345-8842;Rachel Gervais, principalInvestigator, https://orcid.org/0000-0002-6929-2027;Paul Stothard, principalInvestigator, https://orcid.org/0000-0003-4263-969X;NA;http://id.nlm.nih.gov/mesh/D003612;http://id.nlm.nih.gov/mesh/D000074382;NDGP, dairy genomics, greenhouse gas mitigation, methane reduction, animal nutrition
Leveraging Genomics To Achieve Dairy Net-Zero (NDGP);ndgp_4.json;Leveraging Genomics To Achieve Dairy Net-Zero: MIR File Layout;Data schema for the pedigree file layout for the Leveraging Genomics To Achieve Dairy Net-Zero (NDGP).;en;2023-2027;Canada;RESTREINT;NA;Net-Zero Dairy Genome Project, https://www.ndgp.ca/, pointOfContact;Christine Baes, principalInvestigator, https://orcid.org/0000-0001-6614-8890;Filippo Miglior, principalInvestigator, https://orcid.org/0000-0003-2345-8842;Rachel Gervais, principalInvestigator, https://orcid.org/0000-0002-6929-2027;Paul Stothard, principalInvestigator, https://orcid.org/0000-0003-4263-969X;NA;http://id.nlm.nih.gov/mesh/D003612;http://id.nlm.nih.gov/mesh/D000074382;NDGP, dairy genomics, greenhouse gas mitigation, methane reduction, animal nutrition
Leveraging Genomics To Achieve Dairy Net-Zero (NDGP);ndgp_5.json;Leveraging Genomics To Achieve Dairy Net-Zero: Milk Production File Layout;Data schema for the pedigree file layout for the Leveraging Genomics To Achieve Dairy Net-Zero (NDGP).;en;2023-2027;Canada;RESTREINT;NA;Net-Zero Dairy Genome Project, https://www.ndgp.ca/, pointOfContact;Christine Baes, principalInvestigator, https://orcid.org/0000-0001-6614-8890;Filippo Miglior, principalInvestigator, https://orcid.org/0000-0003-2345-8842;Rachel Gervais, principalInvestigator, https://orcid.org/0000-0002-6929-2027;Paul Stothard, principalInvestigator, https://orcid.org/0000-0003-4263-969X;NA;http://id.nlm.nih.gov/mesh/D003612;http://id.nlm.nih.gov/mesh/D000074382;NDGP, dairy genomics, greenhouse gas mitigation, methane reduction, animal nutrition
Leveraging Genomics To Achieve Dairy Net-Zero (NDGP);ndgp_6.json;Leveraging Genomics To Achieve Dairy Net-Zero: Pedigree File Layout;Data schema for the pedigree file layout for the Leveraging Genomics To Achieve Dairy Net-Zero (NDGP).;en;2023-2027;Canada;RESTREINT;NA;Net-Zero Dairy Genome Project, https://www.ndgp.ca/, pointOfContact;Christine Baes, principalInvestigator, https://orcid.org/0000-0001-6614-8890;Filippo Miglior, principalInvestigator, https://orcid.org/0000-0003-2345-8842;Rachel Gervais, principalInvestigator, https://orcid.org/0000-0002-6929-2027;Paul Stothard, principalInvestigator, https://orcid.org/0000-0003-4263-969X;NA;http://id.nlm.nih.gov/mesh/D003612;http://id.nlm.nih.gov/mesh/D000074382;NDGP, dairy genomics, greenhouse gas mitigation, methane reduction, animal nutrition
PeaCE (PEA CLIMATE-EFFICIENT);peace_1.json;PeaCE;Climate smart agriculture and food systems – interdisciplinary challenge teams (csafs-ict) application form.;en;2023-2027;Canada;RESTREINT;NA;PeaCe, https://saskpulse.com/research/listing/peace-pea-climate-efficient-developing-climate-resilient-low-carbon-footprint-field-pea-as-a-preferred-rotation-crop-through-inter-disciplinary-integration-of-genomic-technologies/, pointOfContact;Marcus A. Samuel, principalInvestigator, https://orcid.org/0000-0002-3936-5563;Sateesh Kagale, principalInvestigator, https://orcid.org/0000-0002-7213-1590;NA;NA;NA;http://purl.obolibrary.org/obo/AGRO_00000469;https://www.ncbi.nlm.nih.gov/datasets/taxonomy/3803/;PeaCE, field pea genomics, nitrogen fixation, climate-smart agriculture, carbon sequestration
Just Transitions;just-transitions_1.json;Just Transitions: GENOME;Schema describing the social survey questionnaire.;en;2023-2027;Canada;RESTREINT;NA;Just Transitions, https://www.ufv.ca/agrigenomics/, pointOfContact;Evan Bowness, principalInvestigator, https://orcid.org/0000-0001-6038-960X;Lenore Newman, principalInvestigator, https://orcid.org/0000-0001-5063-8430;Stefania Pizzirani, principalInvestigator, https://orcid.org/0000-0002-9843-4055;NA;NA;http://id.nlm.nih.gov/mesh/D000092783;NA;Just Transitions, agri-genomics technologies, social justice, climate change mitigation,
